Rating,Parent Asin,Main Category,Product Title,Retailer,Review,Word Count,Sentence Count
1,B0BR5N8Y3M,Grocery,Gumballs for Gumball Machine - 1 Inch Large Gumballs - Fruit Flavored Bubble Gum White Gumballs - Kids Gum - Bulk Gum Balls 2 Lb,Global Gumball,"What the ? I normally am happy with this product, but, I’ve never got the bottom of the barrel before I will see if this happens again.The other odd thing was about 10of them had a filling inside, of some sticky type candy. I had to take them out to handle how sour they were. That’s never happened before.Not sure what is going on with this company.",66,4
1,B00I8GLPSO,Grocery,"Stove Top Stuffing Mix, Chicken, 12 Ounce Box",Stove Top,It can often be purchased for less money at any local grocery store as package is small. It was a small package and not worth the money usually much less cost at the local grocery stores.,36,2
1,B000JMFCXO,Grocery,Almonds Whole Natural 2lb (32 Ounces),Spicy World,"Inedible outrage. Lots of variability w/ this product so I took a chance...I lost BIG TIME. Plastic package, funny scent on opening, almonds look pale in color, first sample...NO flavor! Soggy w/ dry surface. No aroma, rancid aftertaste, inedible and ruin any smoothie. I've demanded a refund but heard nothing. This is not even food and I'm outraged. And even the squirrels won't eat them!",67,10
1,B0C4FMN1QK,Grocery,"Knorr Pasta Sides For Delicious Quick Pasta Side Dishes Fettuccine Alfredo No Artificial Flavors, No Preservatives, No Added MSG 4.4 oz",Knorr,Cheap and easy. These are cheap and easy side dishes. But they’re very watered down. We made three at once and it was way to much water !,27,4
1,B00ICT8RQU,Grocery,"Trader Joe's Instant Coffee Packets with Creamer & Sugar 10 Packets, 4.2 Oz (Pack of 2)",TJ's,"Two thumbs down. Not impressed, still needed to add cream and sugar. Don't recommend it at all",17,3
1,B000N33NSA,Grocery,"Erin Baker's Breakfast Cookies, Chocolate Chunk, Vegan, 3-Ounce Individually Wrapped Cookies, (Pack of 12)",Erin Baker's,"Not too bad before I saw the mold. I was so excited to get these because I thought it would be a great healthy snack to keep at my desk. I ordered these and other flavor (double chocolate chunk) and after eating a couple of each, noticed that one of the cookies had bluish green mold on it. I assumed it was a bad one in the batch. I saw on the manufacturer's website that these should be stored in the freezer since the shelf life is 90 days (due to natural ingredients and no preservatives). I immediately put them in the freezer after getting them 3 weeks earlier. The next 4 cookies I opened had that same mold on it and after I examine the rest, I found that they all were moldy. Apparently Amazon had them stored in their warehouse for a while before I rec'd them. Since there were no dates stamped on the cookies, I have no idea how long they sat in the warehouse before I got them.I will not be ordering these again and will be wary of ordering other food products from Amazon.com. They were great about refunding my money and I will continue to purchase from amazon, just not short shelf life food items.",212,10
1,B01FKV4CDY,Grocery,Mission Meats Sugar Free Keto Snacks Grass Fed Beef Bars Whole 30 Gluten Free MSG Free Nitrate Nitrite Free Paleo Healthy Snacks Natural Meat Sticks Beef Jerky Zero Sugar Protein Snacks (12-Count),EST. 2015 MISSION MEATS,"Only eat if you like a full salt shaker in every bar. I ordered this and found it WAY TO SALTY!! So much salt that it raised my blood pressure. The beef bar is like a large, moist slim Jim you can by in the gas station store only this has less flavor. And you can't return it!",58,5
1,B079JR2YL5,Grocery,"VEGETARIAN PLUS Vegetarian Orange Chicken, 10.5 OZ",Vegetarian Plus,"You know those soft, artist's pencil erasers you knead in your hand to clean? Like that, with sauce. Completely unpalatable. Would not serve this to a wild coyote (and they'll eat anything). You know those soft, light gray pencil erasers you knead in your hand to clean, and when you stretch them, they get light and airy? This is like that, with sauce. Not even kidding. If you buy this, think of that image while chewing on one of the chicken gumballs (for lack of a better word) for a while--and I assure you it will be a WHILE. The texture of these things falls somewhere between bubble gum, erasers and marshmallows. And they taste like, well, nothing really, with a faint hint of latex, perhaps (might be the bag you microwave it in--which melts!). Yes, this is that bad. Truly an extremely unpleasant thing to put in your mouth. As I chewed the first one up (took a few minutes--they do not break down the way actual FOOD does when you chew it), I could not help but wonder if this would digest properly. I felt like I was eating something from art class, and when I swallowed it, I felt like I had swallowed my chewing gum or something. Absolutely disgusting.This is *not* food.Make sure you read the instructions closely--there is a second bag within the outer bag. Unlike most entrees you heat up in right the packaging, you have to first remove the inner bag from the outer bag. Not sure why they go to the trouble of double-bagging, but this seems misleading (it looks like a larger portion than what is actually in the bag) is not environmentally friendly, and can be confusing--read the instructions closely if you still want to give this a try. Flavor: 0/10, texture: -1/10, packaging 0/10.Oh, and please note the microwave instructions are simply wrong. This was delivered frozen from Whole Foods via Amazon, but I am not sure it is actually meant to be frozen. Following the microwave directions means you are giving this less than half the amount of time actually required to heat up properly. I had to put it in for another two minutes to get it hot enough to serve (it was still partially frozen after following the directions--and I have a 1100w microwave), which made part of the inner bag melt. Really not cool. Pretty sure the end result is a lot of free radicals in your dinner. I threw it out after 2 bites. I absolutely do NOT recommend this product. It was disappointing on every level--just terrible.",446,27
1,B07V2D6559,Grocery,Revolution Tea - Mesh Infuser Full Leaf Tea - Bombay Chai Black Tea - 20 Bags,Revolution Tea,"Chemical Aftertaste. I don't normally write reviews but this product is so awful I felt compelled. I bought this based on 2 things. One is that it was advertised as BLACK tea and the other that it had peach in it. The picture made it seem there were bits of dried peach in the tea bag. Not only is it CEYLON tea (which I hate) but it tastes nothing like peach and there are no peach bits in the tea bag. Worst of all, after preparing 2 cups (the second with an extra tea bag in the cup to see if I'd get more of a peach taste), I could not get the aftertaste to go away. The aftertaste is a chemical-y cloying nasty experience. I threw the rest of it away and I had bought 2 boxes of it. Don't waste your money.",145,10
1,B0C9Y33KRD,Grocery,"Taylors of Harrogate Green Tea with Lemon, 20 Count (Pack of 6)",Taylors of Harrogate,ONLY GOT ONE BOX. ORDERED A PACK OF 6 ONLY RECEIVED ONE BOX.,13,2
1,B0131A6FJA,Grocery,"96 Count Variety (12 Amazing Blends), Single serve Coffee Pods for Keurig K Cup Brewers - Premium Roasted Coffee (Variety, 96 Compatible with 2.0).",InfuSio,"You dont get 10 Flavors, only 8. Coffee is good but not as advertised. I bought a Variety Pack of 10 and only recieved 8 different flavors.",27,3
1,B078K4CNVW,Grocery,"TwelVita All Natural Baked Gluten-Free Okra Snack, 1.4 Ounce (Pack of 6)",TwelVita,"Received EXPIRED items!!!! Ordered it July 30, 2018. Received it today Aug 1, 2018. All packages are expired. Best by 6-23-2018. I want a refund!!!",27,6
1,B01M67JKMO,Grocery,"Lindt LINDOR Milk Chocolate Candy Truffles, Milk Chocolate with Smooth, Melting Truffle Center, 25.4 oz., 60 Count",Lindt,Disappointing. I couldn't use these chocolates in gift bags as I had planned. They arrived in soft packaging. ALL were smashed and the interior of the bag a mess with chocolate. I am sure they were fresh but what good are they if you can't present them?,47,5
1,B0B1331TFQ,Grocery,"Bigelow Decaf French Vanilla Tea Bags, 20 ct",Bigelow Tea,"Not much (or any) tea flavor. Just chemical syrupy tasting vanilla. Get the blueberry flavor. Shame that all their flavor reviews are linked, I'd give that one 5 stars.I hear there is tea in there, but I don't taste it.I'm a huge fan of vanilla and black tea. But not this.The 6 boxes I got are going in the trash.",60,5
1,B08GMB9NHW,Grocery,"Del Monte Canned Fresh Cut Sweet Peas No Salt Added, 8.5-Ounce (Pack of 12)",Del Monte,"Every can dented! These should have been discounted, EVERY CAN WAS DENTED!Not a happy camper!",16,3
1,B07SNTF854,Grocery,"Red Rose Petals - Pure, All Natural & Edible Rose Petals - Dried Flower Petals for Herbal Tea, Decoration, Rose Sprinkles, Topping on Cupcakes, Desserts - Net Weight: 0.35oz/10g",Bluechai,"Watch out - the bag is tiny! Pay attention to the product weight - it's a tiny tiny bag! It's like three tablespoons worth of product! What a ripoff...Product is not any better than other similar products on the market. Stay away, find a better deal.",45,6
1,B0086XQSCW,Grocery,Schluckwerder Chocolate Covered Marzipan Loaves - 2.65oz,Schluckwerder,Stale. This item is stale and inedible. I will never buy marzipan online again.,14,3
1,B00GDQJA24,Grocery,"Pop Weaver Microwave Popcorn, Extra Butter, 22 Bags per Box…",Pop Weaver Microwave Popcorn,When I buy buttery popcorn I expect it to taste buttery it dent. Need to b more butter 🧈 er,19,2
1,B00IJGLAME,Grocery,"Mushroom Popcorn by Hoosier Hill Farm, 4LB (Pack of 1)",Hoosier Hill Farm,Great product when received properly. This is my 2nd time ordering this product. But this time it arrived opened and the container was broken... kernels were loose in the bag. Very disappointed. It should've been shipped in a box not a bag,42,5
1,B01F1ECNVS,Grocery,"Handmade Pecan Brittle. Grade ""A"" Pecans. Just Like Granny Used to Make. - One Pound (16oz) Bag",Granny's Confections LLC,"WARNING...YOU CAN'T RETURN IT. I bought two (unfortunately), one to be a gift for a friend who's popular all ""homade"" candy store does not sell pecan brittle, my favorite. I will not be giving this to her because l don't like it; the pecans seem lacking in flavor (except for the bad one I spit out), maybe old (I suspect they get rid of their old nuts here) or just drowned out by the weak proportion of nuts to sweet candy.And then l find l cannot return it.Boo hoo.I will stick with Sunnyland Farms; costs more, but it's tremendous.",100,4
1,B07XSKK6Z4,Grocery,"Wonderful Pistachios, No Shells, Roasted & Salted Nuts, 0.75oz (Pack of 9)",Wonderful Pistachios,Extremely Salty. Sent these to my son for a protein snack before hockey. He said they were extremely salty to the point the he dumped all the bags in a strainer and then repackaged.,34,3
1,B00SG90HDC,Grocery,Royal Dansk Luxury Wafers Vanilla Creme Filled 12.3oz Canister,Royal Dansk,0 stars if I could. STALE TASTES STALE SMELL SALE WASTED MY MONEY :((,13,2
1,B07W4FJZ6D,Grocery,"Taylors of Harrogate Lapsang Souchong, 50 Teabags",Taylors of Harrogate,"Too bland and weak. This tea had a very weak flavor. I like a very strong, robust flavor breakfast tea because I do not use any milk, cream, or sweetener. But this tea tasted more bland than any breakfast tea I have ever tasted before. It was so horrible that I dumped the cup out after one sip and threw away the box.",63,5
1,B09QHCT8S9,Grocery,"Walden Farms French Vanilla Coffee Creamer 12 oz Bottle (Pack of 6) Rich & Creamy | Fresh and Flavorful | Vegan, Paleo and Keto Friendly | Non-Dairy Milk Substitute | 0g Net Carbs | For Coffee | Tea | Smoothies | Breakfast Bowl and More",Walden Farms,"I really wanted to like it! I tasted it and poured it down the drain. This may sound strange but it tasted like plastic and had a very strong after-taste. It's hard to describe, but it had a chemical-plastic-metallic taste. I really wanted to like this product since I am embarking on a sugar free diet, but this was not for me.",65,5
1,B072XZVSZ8,Grocery,"VitaCup Vitamin Infused Medium Roast Coffee Pods 16ct w/ Vitamins B12, B9, B6, B5, B1, & D3 For Energy in Recyclable Single Serve Pod Compatible with K-Cup Brewers Including Keurig 2.0",VitaCup,"NOT a crowd pleaser. The taste of this is strong and somewhat bitter. I did not experience any benefit that I could tell from drinking it, after a week I just tossed it.",33,3
1,B09GQHLWS7,Grocery,"Campbell's Condensed Kids Soup, Disney Frozen 2, Frozen- shaped pasta in chicken soup, 10.5 Ounce Can",Campbell's,Not great soup. Lack luster soup and you can’t even make out the character shapes. Could be any Disney character,20,3
1,B01L0JHARU,Grocery,Accoutrements Novelty Christmas Candy Cane Gag Gift - Coffee Flavor - 6 Per Box,Accoutrements,VERY DISAPPOINTED!! I ordered 4 boxes of these and ... VERY DISAPPOINTED!! I ordered 4 boxes of these and they didn’t taste like coffee and were “sticky” like they were OLD candy. I’m sorry I wasted my money on them..,39,5
1,B0759B7KLH,Grocery,"BEN'S ORIGINAL Ready Rice Cheese Risotto Flavored Rice, Easy Dinner Side, 8.5 oz Pouch (Pack of 12)",BEN'S ORIGINAL,They only sent me 1 bag of rice. I purchased the 12 pack but only received one bag. They bag I got was old. Don’t buy this.,27,4
1,B0BYV3H1KR,Grocery,Frooties Grape Purple 1 bag,Tootsie Roll,"Greasy, tasteless candy. I am not very fond of this candy. The candy has a greasy feel to it when chewing it, and the flavor is not intense enough. I paid too much money for candy I will probably give away.",41,4
1,B0BWKWH342,Grocery,"Hormel Chili With Bean & DINTY MOORE Beef Stew Variety Pack, 15 oz. cans (8-pack)",Hormel Chili,No top of the can latch. Picture of the product on Amazon showed the can has latched top. No top of the can LATCH Picture of product on Amazon order page showed the product has latch reason I ordered the product.,41,3
1,B0B5HNKNG6,Grocery,"Laffy Taffy Stretchy & Tangy Strawberry, 1.5 Ounce - 24 Count (Pack of 1) (12124993)",Laffy Taffy,Don’t purchase from this company. Horrible. The video another customer purchased says it all. I’m happy for that customer….I ordered cherry also. Now I have $25 worth of a flavor I don’t like and it’s not fresh.,38,6
1,B08HG5Y2K3,Grocery,"SUPERSEEDZ Vermont Maple Sugar & Sea Salt Pumpkin Seeds, 4 OZ",SuperSeedz,Not as good as it sounds. I was very disappointed trying these. The flavor was like maybe sprinkling the sugar from one not so great maple oatmeal packet on a cup or so of pumpkin seeds. Pumpkin seeds also did not taste like they were toasted but also didn’t taste raw.,51,4
1,B07B6C21WR,Grocery,"LATTA EGG RANCH Brown Large Grade A Eggs, 18 CT",Latta Egg Ranch,"No expiration date was listed on the carton. I definitely will NOT purchase this brand of eggs again. They arrived warm from sitting too long in a hot delivery vehicle. There was *NO EXPIRATION DATE* listed anywhere on the carton. I even used a lighted magnifying glass, but no date was listed on the outside nor on the inside of the carton. Also, the carton arrived damp and was too flimsy to sufficiently support the eggs.I had to throw the eggs away since I didn't know if they would be safe to eat.I definitely don't recommend this product brand.",99,6
1,B07NQJ61L7,Grocery,Golden Barrel Blackstrap Molasses (Gallon),GOLDEN BARREL,"Watery,. I take 3 tablespoons each day because of my iron deficiency anemia. There is another brand thicker and so has more iron per tablespoon",25,3
1,B07VV7T465,Grocery,"Taylors of Harrogate Green Tea with Jasmine, 20 Count (Pack of 6)",Taylors of Harrogate,"Received damaged product. Product arrived damaged, box was smashed. Shipping package it arrived in was fine. Please see pictures.",19,4
1,B0BL7KPDC5,Grocery,"Monty Bojangles Coconut Crush Cat Tin | Cocoa Dusted Chocolate Truffles, Spirit Blue - 4.76 oz",Monty Bojangles,"Disappointed. This tin is very small. The packaging was all boogered up, looks like it had been fingered a lot. I opened it and right on top was an empty wrapper. It was a gift, the tin is really cute but for the money, I should have found something better.",50,5
1,B08KKK8GN4,Grocery,"Duncan Hines Mega Cookie Double Chocolate Chunk Pan Cookie Mix, 8.4 oz",Duncan Hines,always read the reviews this thing is nasty and the reviews said so. oh so gross it the taste of cinnamon in it is awful and where does it say its cinnamon... who the heck put cinnamon with chocolate chips it should have had raisins in it instead but that would not have saved it either to bad you cant return a half eaten cookie,65,1
1,B07B94B3RW,Grocery,"Cafe Bustelo Espresso Ground Coffee, 10 Ounce -- 24 per case.",Cafe Bustelo,"Buyer beware...wildly incorrect pricing! Is this 4 packs as the main description says or 6 packs as ""About the Product"" states. Either way the stated price per ounce of $0.11 is highly deceptive. If a 4 pack then $0.67/oz., 6 pack $0.48/oz.",45,4
1,B095PZCP3N,Grocery,"Matilde Vicenzi Venezia Italy Shortbread Cookie Gift Tin, Imported Assortment Of Italian Butter Cookies & Crispy Tea/Coffee Pastries, Individually Wrapped Trays Of Holiday Bakery Snacks, Kosher, 32 oz",Pasticceria Matilde Vicenzi,Stale cookies in a lovely tin. These were not worth it. They were stale.,14,3
1,B072N63TMF,Grocery,"Ferrero Nutella Hazelnut Spread With Cocoa, 0.52 oz Single Serve Packets in a BlackTie Box (Pack of 60)",Black Tie Mercantile,"Arrived damaged and punctured. Only 59 came in the box and 2 were punctured. Exp date for entire lot of June 2020, 5 months away. Would not recommend and will not purchase again.",33,4
1,B07HKB534Y,Grocery,"Potato Russet Organic, 80 Ounce Bag",Produce,"ANOTHER rotten bag of potatoes from Whole Foods. I'm so very tired of receiving rotten produce from Whole Foods. The majority of the potatoes were green in color, they had large rotted spots on them, and the inside of the potatoes were very rotten, black and moldy.I'll NEVER purchase anything else from Whole Foods. I definitely do NOT recommend buying this product.",62,4
1,B07JZ25N2J,Grocery,"Spindrift Sparkling Water, Blackberry Flavored, Made with Real Squeezed Fruit, 12 Fluid Ounce Cans, Pack of 8 (Only 13 Calories per Can)",Spindrift,"Just not my cup of tea. The juice gives it a sour, almost tea, flavor. I'm not a fan, but maybe it's just me.",24,3
1,B07XW1MJD8,Grocery,"Fresh Brand – Cut and Peeled Baby Carrots, 16 oz",Fresh,"Totally awful, don't waste your money. Talk about yuck! I bought 2 bags of these to roast with baby potatoes. They were still hard and crunchy after 90 minutes of 375°F and the taste was awful. Don't waste your money on these",43,5
1,B0C67978X3,Grocery,"Orgain Organic Vegan Protein Powder, Strawberries & Cream - 21g of Plant Based Protein, Low Net Carbs, Gluten/ Lactose Free, No Sugar Added, Soy Free, Non-GMO, 2.03 Lb",Orgain,"NO PLUSES FOR ME! This is the worst-tasting protein powder I have ever had.I KNOW taste and texture are relative, but I use a blender and made this like I always make a smoothie and just nothing good re the taste. I couldn't GAG it down and I have had MANY protein powders over the years.",57,3
